city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Atuona,0,PF,1536875824,98,-9.8,-139.03,80.15,18.81
Mataura,0,NZ,1536875824,72,-46.19,168.86,51.98,10.31
Cockburn Town,80,TC,1536875761,96,21.46,-71.14,84.2,17.47
Norman Wells,20,CA,1536872400,42,65.28,-126.83,44.6,17.22
Coihaique,75,CL,1536872400,76,-45.58,-72.07,50.0,9.17
Jalu,0,LY,1536875825,39,29.03,21.55,75.92,7.85
Koryukivka,80,UA,1536875826,71,51.77,32.25,64.67,6.73
Punta Arenas,40,CL,1536872400,70,-53.16,-70.91,48.2,29.97
Hobart,75,AU,1536874200,58,-42.88,147.33,59.0,14.99
Rikitea,8,PF,1536875827,98,-23.12,-134.97,74.48,15.57
Lorengau,20,PG,1536875827,100,-2.02,147.27,81.14,11.21
Albany,75,US,1536872340,60,42.65,-73.75,82.4,4.7
Saint-Philippe,1,CA,1536873300,54,45.36,-73.48,78.8,3.36
Jamestown,0,AU,1536875828,52,-33.21,138.6,47.57,11.32
Shellbrook,75,CA,1536872400,76,53.22,-106.39,48.2,2.24
Okha,100,RU,1536875829,97,53.59,142.95,53.24,2.82
Ahipara,80,NZ,1536875829,97,-35.17,173.16,53.15,5.28
Mogadishu,92,SO,1536875794,99,2.04,45.34,78.26,17.69
Shebekino,0,RU,1536872400,72,50.41,36.89,66.2,4.47
Aklavik,40,CA,1536872400,69,68.22,-135.01,35.6,9.17
Goderich,56,CA,1536875830,80,43.74,-81.71,76.73,8.75
Malanje,32,AO,1536875830,99,-9.54,16.35,65.39,3.6
Podosinovets,92,RU,1536875831,75,60.28,47.06,52.97,17.69
Povenets,100,RU,1536875831,99,62.85,34.83,51.71,13.22
Bundaberg,0,AU,1536875654,98,-24.87,152.35,68.09,4.72
Cape Town,75,ZA,1536872400,67,-33.93,18.42,57.2,10.29
Ixtapa,75,MX,1536871260,70,20.71,-105.21,87.8,5.82
Emerald,0,AU,1536875832,83,-23.53,148.16,53.33,2.93
Igrim,24,RU,1536875832,93,63.19,64.42,49.73,7.18
Hithadhoo,80,MV,1536875655,100,-0.6,73.08,83.84,16.02
New Norfolk,75,AU,1536874200,58,-42.78,147.06,59.0,14.99
Ushuaia,20,AR,1536872400,70,-54.81,-68.31,46.4,18.34
Rincon,75,US,1536874500,60,32.3,-81.24,90.5,9.19
Pacific Grove,1,US,1536874500,36,36.62,-121.92,75.2,13.87
Faya,0,SA,1536872400,88,18.39,42.45,69.8,4.7
Cherskiy,0,RU,1536875834,84,68.75,161.3,37.4,5.61
Nome,1,US,1536873300,81,30.04,-94.42,80.24,6.93
Mount Isa,0,AU,1536874200,44,-20.73,139.49,60.8,3.36
Castro,8,CL,1536875835,77,-42.48,-73.76,51.53,3.94
Busselton,64,AU,1536875836,100,-33.64,115.35,56.12,22.95
Vestmannaeyjar,32,IS,1536875836,84,63.44,-20.27,49.37,8.08
Thompson,90,CA,1536872400,71,55.74,-97.86,53.6,3.36
Bredasdorp,44,ZA,1536872400,81,-34.53,20.04,51.8,3.36
Tuktoyaktuk,75,CA,1536873120,79,69.44,-133.03,28.4,13.87
Iqaluit,40,CA,1536872400,64,63.75,-68.52,39.2,16.11
Mayumba,92,GA,1536875838,100,-3.44,10.65,73.4,6.73
Fairbanks,1,US,1536872280,62,64.84,-147.72,59.0,3.36
Batagay-Alyta,0,RU,1536875839,53,67.8,130.41,11.57,2.71
Verkhnyaya Inta,92,RU,1536875839,98,65.99,60.32,48.56,5.17
Krasnokamensk,80,RU,1536875839,83,50.1,118.04,39.74,2.82
Port Angeles,90,US,1536872400,77,48.12,-123.43,66.02,3.36
Vaini,0,IN,1536875840,87,15.34,74.49,61.88,2.59
Elko,40,US,1536872160,5,40.83,-115.76,73.04,11.41
Lompoc,1,US,1536874500,32,34.64,-120.46,80.6,14.99
Kununurra,40,AU,1536874200,72,-15.77,128.74,66.2,10.29
Geraldton,40,CA,1536872400,47,49.72,-86.95,77.0,17.22
Ronda,88,PH,1536875841,100,10.0,123.41,78.44,19.48
Ancud,24,CL,1536875841,71,-41.87,-73.83,53.06,4.72
San Borja,24,BO,1536875842,44,-14.86,-66.75,90.41,4.61
Hualmay,8,PE,1536875842,63,-11.1,-77.61,70.43,6.29
Clyde River,90,CA,1536872400,100,70.47,-68.59,33.8,4.7
Fukue,75,JP,1536872400,94,35.03,136.69,69.8,14.99
Kapaa,90,US,1536872160,96,22.08,-159.32,82.94,23.04
Alta Floresta,32,BR,1536875843,97,-9.87,-56.08,75.2,3.71
Hilo,75,US,1536874560,68,19.71,-155.08,84.02,10.29
Faanui,0,PF,1536875845,100,-16.48,-151.75,79.52,10.09
Lima,8,PE,1536875845,65,-12.06,-77.04,66.02,2.93
Balkanabat,0,TM,1536875845,73,39.51,54.36,61.61,2.15
Orange,0,AU,1536875734,84,-33.28,149.1,43.43,2.71
Sitka,0,US,1536875821,50,37.17,-99.65,89.87,19.82
Catalina,75,CO,1536872400,94,8.86,-75.38,80.6,6.51
Naze,24,NG,1536875847,96,5.43,7.07,71.33,1.92
Kamenka,68,RU,1536875847,63,53.19,44.05,68.99,7.4
Isangel,56,VU,1536875848,100,-19.55,169.27,73.67,18.25
Flinders,0,AU,1536872400,100,-34.58,150.85,50.0,8.05
Butaritari,92,KI,1536875849,100,3.07,172.79,84.56,15.79
Morrisburg,1,CA,1536873300,61,44.9,-75.18,80.06,6.93
Avarua,90,CK,1536872400,64,-21.21,-159.78,75.2,6.93
Yar-Sale,92,RU,1536875849,100,66.83,70.83,48.2,15.68
Bluff,0,AU,1536875850,86,-23.58,149.07,53.87,2.82
Qaanaaq,0,GL,1536875850,100,77.48,-69.36,27.86,5.61
Hermanus,32,ZA,1536875850,78,-34.42,19.24,52.52,8.3
Sun City West,0,US,1536874500,20,33.66,-112.34,102.92,4.05
Providencia,40,CO,1536872400,68,1.24,-77.6,68.0,6.93
Omboue,32,GA,1536875852,100,-1.57,9.26,76.28,8.75
Chokurdakh,92,RU,1536875852,98,70.62,147.9,36.77,14.0
La Ronge,90,CA,1536872400,80,55.1,-105.3,39.2,12.75
Puerto Ayora,90,EC,1536872400,65,-0.74,-90.35,77.0,19.46
San Juan,36,AR,1536875645,55,-31.54,-68.53,63.05,2.26
Alyangula,0,AU,1536875854,100,-13.85,136.42,73.58,7.18
Wadi Maliz,40,TN,1536872400,83,36.47,8.55,73.4,4.61
Balasore,88,IN,1536875855,96,21.5,86.92,79.88,6.17
Tasiilaq,88,GL,1536871800,80,65.61,-37.64,41.0,6.93
Karratha,0,AU,1536875855,50,-20.74,116.85,57.74,3.71
Georgetown,40,GY,1536872400,88,6.8,-58.16,77.0,4.7
Guerrero Negro,0,MX,1536875856,62,27.97,-114.04,81.68,10.76
Burns Lake,20,CA,1536875856,60,54.23,-125.76,41.9,3.15
Katsuura,75,JP,1536873600,94,33.93,134.5,73.4,3.36
Talnakh,24,RU,1536875857,98,69.49,88.39,33.26,11.1
Lagoa,0,PT,1536874200,88,37.14,-8.45,69.8,11.41
Constitucion,90,MX,1536871680,47,23.99,-104.67,75.2,4.7
Nizwa,0,OM,1536875858,40,22.93,57.53,68.18,1.81
Ayorou,0,NE,1536875858,42,14.73,0.92,80.33,6.4
Tete,0,MZ,1536875858,49,-16.16,33.59,73.13,6.96
Barrow,0,AR,1536875859,63,-38.31,-60.23,65.03,3.38
Bayan,92,MN,1536875859,87,47.25,107.54,31.64,12.55
Provideniya,90,RU,1536872400,87,64.42,-173.23,48.2,13.42
Upernavik,0,GL,1536875860,100,72.79,-56.15,36.86,6.4
Okhotsk,0,RU,1536875860,100,59.36,143.24,40.73,3.94
Ribeira Grande,40,PT,1536870600,78,38.52,-28.7,73.4,6.93
Stepnyak,0,KZ,1536875861,57,52.83,70.79,52.88,18.48
Yellowknife,75,CA,1536873480,48,62.45,-114.38,39.2,8.05
Veraval,0,FR,1536874200,93,49.65,0.71,55.4,4.7
Dikson,80,RU,1536875862,100,73.51,80.55,36.95,18.14
Raduzhnyy,92,RU,1536875862,97,62.1,77.47,48.29,15.12
Kaitangata,0,NZ,1536875862,66,-46.28,169.85,52.97,18.14
Lebu,0,ET,1536875863,84,8.96,38.73,45.95,1.92
Alofi,90,NU,1536872400,94,-19.06,-169.92,71.6,13.87
Digha,44,IN,1536875863,100,21.62,87.51,81.68,11.43
Normandin,20,CA,1536872400,68,48.84,-72.53,71.6,4.7
Straumen,75,NO,1536873600,81,63.87,11.3,48.2,11.41
Vila Velha,0,BR,1536876000,78,-3.71,-38.6,78.8,12.75
Aktau,0,KZ,1536872400,59,43.65,51.16,60.8,11.18
Saskylakh,0,RU,1536875865,81,71.97,114.09,28.22,5.39
Carauari,24,BR,1536875623,81,-4.88,-66.9,83.12,3.71
Liverpool,0,GB,1536873600,76,53.41,-2.98,57.2,10.29
Rafai,0,CF,1536875866,98,4.95,23.92,68.81,2.93
Port Elizabeth,90,US,1536873660,94,39.31,-74.98,78.08,13.87
Sao Joao da Barra,75,BR,1536872400,64,-21.64,-41.05,71.6,18.34
San Quintin,20,PH,1536872400,88,17.54,120.52,78.8,4.7
Bambous Virieux,20,MU,1536872400,78,-20.34,57.76,71.6,5.82
Kajaani,0,FI,1536873600,87,64.22,27.73,48.2,3.36
Lithakia,20,GR,1536873600,68,37.72,20.83,68.0,3.36
Ust-Nera,8,RU,1536875868,90,64.57,143.24,18.05,1.7
Haines Junction,92,CA,1536875868,70,60.75,-137.51,46.22,3.94
Bubaque,20,GW,1536872400,88,11.28,-15.83,78.8,4.7
Longyearbyen,75,NO,1536871800,74,78.22,15.63,33.8,2.24
Kodiak,40,US,1536875580,67,39.95,-94.76,82.04,11.41
Adrar,20,DZ,1536872400,26,27.87,-0.29,93.2,13.87
Avera,40,US,1536874500,48,33.19,-82.53,91.94,8.05
Arraial do Cabo,20,BR,1536872400,68,-22.97,-42.02,69.8,16.11
Bathsheba,75,BB,1536872400,83,13.22,-59.52,80.6,17.22
Naliya,100,IN,1536875871,87,23.26,68.83,77.63,10.98
Gat,40,SN,1536872400,83,14.69,-16.54,84.2,2.24
Luderitz,0,NA,1536875872,87,-26.65,15.16,53.87,15.01
Kysyl-Syr,32,RU,1536875872,97,63.9,122.77,32.9,6.29
Kaitong,8,CN,1536875872,66,44.81,123.15,52.97,5.5
Matipo,24,BR,1536875872,66,-20.28,-42.34,68.36,5.61
Pompeu,20,BR,1536872400,19,-21.05,-48.85,91.4,4.7
Saint-Augustin,0,FR,1536874200,93,44.83,-0.61,62.6,3.36
Nikolskoye,0,RU,1536872400,87,59.7,30.79,50.0,6.71
Matara,40,PE,1536872400,290,-13.74,-72.9,62.6,2.15
Porto Torres,20,IT,1536873600,94,40.84,8.4,69.8,1.12
Nakamura,75,JP,1536872400,94,35.17,136.87,69.8,14.99
Pangnirtung,75,CA,1536872400,74,66.15,-65.72,35.6,18.34
Sokoni,0,CD,1536875875,33,-12.89,28.78,70.7,8.19
Torbay,90,CA,1536872400,100,47.66,-52.73,53.6,6.93
Songjianghe,56,CN,1536875876,84,42.18,127.48,47.75,3.04
Takoradi,64,GH,1536875876,97,4.89,-1.75,76.37,7.29
Egvekinot,100,RU,1536875876,95,66.32,-179.17,44.15,3.15
Zeya,92,RU,1536875877,100,53.74,127.27,47.48,1.92
Shirokiy,32,RU,1536875877,75,53.87,39.17,57.83,4.61
Custodia,64,BR,1536875878,35,-8.09,-37.64,81.77,10.2
Ron,0,IN,1536875878,90,15.7,75.73,69.17,7.85
Elliot Lake,1,CA,1536872400,60,46.37,-82.65,75.2,12.75
Imeni Poliny Osipenko,80,RU,1536875878,96,52.42,136.49,47.48,5.61
Bethel,1,US,1536871980,74,60.79,-161.76,55.94,5.82
Port Alfred,0,ZA,1536875879,87,-33.59,26.89,63.32,17.02
Chicama,75,PE,1536872400,82,-7.84,-79.15,64.4,10.29
Tiznit,0,MA,1536875679,86,29.7,-9.73,70.07,3.71
Zanesville,20,US,1536873360,65,39.94,-82.01,86.0,5.82
Chuy,68,UY,1536875881,91,-33.69,-53.46,60.62,11.21
High Prairie,68,CA,1536875881,65,55.43,-116.48,36.23,4.05
Kachug,0,RU,1536875882,87,53.96,105.89,24.53,3.49
Almaznyy,0,RU,1536875882,70,48.03,40.04,56.03,3.04
Kameno,0,BG,1536874200,88,42.57,27.29,66.2,5.82
Shahgarh,0,IN,1536875882,96,24.31,79.12,72.23,7.96
Mount Gambier,0,AU,1536875883,63,-37.83,140.78,54.32,9.08
Hobyo,32,SO,1536875883,92,5.35,48.53,75.56,18.59
Mar del Plata,48,AR,1536875883,40,-46.43,-67.52,63.14,23.85
Platanos,20,GR,1536873600,88,35.47,23.6,66.2,5.39
Lamesa,40,US,1536873300,41,32.74,-101.95,85.82,10.29
Salalah,75,OM,1536871800,88,17.01,54.1,77.0,2.24
Quatre Cocos,20,MU,1536872400,78,-20.21,57.76,71.6,5.82
Tabou,76,CI,1536875885,100,4.42,-7.36,77.72,6.73
Roald,40,NO,1536873600,81,62.58,6.12,50.0,12.75
Ponta do Sol,36,BR,1536875886,50,-20.63,-46.0,76.01,4.61
Fortuna,20,ES,1536874200,73,38.18,-1.13,77.0,2.24
Bograd,40,RU,1536872400,81,54.22,90.86,46.4,13.42
Broken Hill,0,AU,1536875886,70,-31.97,141.45,43.88,5.28
Mucurapo,20,TT,1536872400,59,10.67,-61.53,89.6,5.82
Melo,80,UY,1536875887,81,-32.37,-54.17,67.37,6.73
Margate,75,AU,1536874200,58,-43.03,147.26,59.0,14.99
Mocuba,0,MZ,1536875888,76,-16.84,36.99,71.87,5.84
Trat,92,TH,1536875888,100,12.25,102.51,73.22,4.83
Inhambane,0,MZ,1536875888,96,-23.87,35.38,70.43,13.78
Pisco,0,PE,1536872400,30,-13.71,-76.2,71.6,9.17
Oranjestad,20,AW,1536872400,66,12.52,-70.03,86.0,12.75
San Cristobal,75,EC,1536872400,37,-0.39,-78.55,69.8,17.22
Saint George,20,GR,1536871800,72,39.45,22.34,62.6,5.82
Hasaki,75,JP,1536872400,94,35.73,140.83,69.8,4.7
Port Blair,80,IN,1536875892,100,11.67,92.75,81.5,16.69
Helong,8,CN,1536875892,95,25.94,116.13,69.8,1.92
Auki,48,NG,1536875892,84,12.18,6.51,73.4,6.73
